source_record_id,asset_type,substation_name,voltage_level,summer_total_capacity_mva,summer_firm_capacity_mva,summer_load_transfer_capacity_mva,summer_95pct_peak_exceeded_hours_per_year,summer_embedded_solar_pv_mw,summer_embedded_other_generation_mw,winter_total_capacity_mva,winter_firm_capacity_mva,winter_load_transfer_capacity_mva,winter_95pct_peak_exceeded_hours_per_year,winter_embedded_solar_pv_mw,winter_embedded_other_generation_mw,summer_actual_2022_23_mva,summer_actual_2022_23_pf,summer_actual_2023_24_mva,summer_actual_2023_24_pf,summer_actual_2024_25_mva,summer_actual_2024_25_pf,winter_actual_2022_mva,winter_actual_2022_pf,winter_actual_2023_mva,winter_actual_2023_pf,winter_actual_2024_mva,winter_actual_2024_pf,summer_forecast_2025_26_mva,summer_forecast_2025_26_pf,summer_forecast_2026_27_mva,summer_forecast_2026_27_pf,summer_forecast_2027_28_mva,summer_forecast_2027_28_pf,summer_forecast_2028_29_mva,summer_forecast_2028_29_pf,summer_forecast_2029_30_mva,summer_forecast_2029_30_pf,winter_forecast_2025_mva,winter_forecast_2025_pf,winter_forecast_2026_mva,winter_forecast_2026_pf,winter_forecast_2027_mva,winter_forecast_2027_pf,winter_forecast_2028_mva,winter_forecast_2028_pf,winter_forecast_2029_mva,winter_forecast_2029_pf,summer_apparent_firm_margin_latest_mva,summer_apparent_firm_margin_2029_30_mva,winter_apparent_firm_margin_latest_mva,winter_apparent_firm_margin_2029_mva,capacity_interpretation
zone_substation|PUNCHBOWL|33/11kV,zone_substation,PUNCHBOWL,33/11kV,95.34,62.78,17.2,2.75,13.46028,0.0,99.85,66.57,13.7,0.0,12.455125,0.0,37.17,1.0,41.87,1.0,39.98,1.0,37.28,1.0,35.05,1.0,35.84,1.0,43.8,1.0,44.59,1.0,44.4,1.0,44.08,1.0,44.29,1.0,39.44,1.0,39.64,1.0,40.44,1.0,40.35,1.0,40.19,1.0,22.8,18.49,30.73,26.38,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|PYMBLE|33/11kV,zone_substation,PYMBLE,33/11kV,67.65,39.43,25.153162342645352,0.25,12.44412,0.0,67.65,41.48,19.59204192382811,0.0,11.259845,0.0,28.98,0.92,33.13,0.9,36.32,0.98,30.13,0.98,26.28,0.9,28.29,0.98,30.59,0.98,30.93,0.98,31.06,0.98,31.68,0.98,32.41,0.98,29.17,0.98,29.15,0.98,29.48,0.98,29.66,0.98,30.22,0.98,3.11,7.02,13.19,11.26,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|RATHMINES|132/11kV,zone_substation,RATHMINES,132/11kV,76.21,38.11,11.237619102979593,0.5,12.135235,0.89015,76.21,38.11,7.601918804956784,0.0,11.13725,0.89015,15.78,0.99,14.75,0.99,17.68,0.99,13.42,1.0,11.04,1.0,11.96,1.0,14.9,0.99,15.13,0.99,14.96,0.99,15.14,0.99,15.03,0.99,11.78,1.0,11.42,1.0,11.55,1.0,11.4,1.0,11.56,1.0,20.43,23.08,26.15,26.55,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|RAYMOND TERRACE|33/11kV,zone_substation,RAYMOND TERRACE,33/11kV,73.6,38.11,0.0,0.25,0.0,0.0,73.6,38.11,0.0,0.0,0.0,0.0,23.04,0.99,24.0,0.98,24.04,0.98,19.4,1.0,18.38,0.99,18.36,0.98,23.36,0.98,24.62,0.98,26.96,0.98,28.56,0.98,29.07,0.98,17.94,0.99,17.72,0.99,18.58,0.99,20.38,0.99,21.46,0.99,14.07,9.04,19.75,16.65,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|REVESBY|132/11kV,zone_substation,REVESBY,132/11kV,76.21,44.93,17.17535685300786,7.5,24.401455,0.01533,76.21,47.8,15.245272637345956,0.0,22.346035,0.01533,47.68,0.94,49.06,0.9,43.07,1.0,40.86,0.98,38.69,0.9,38.23,1.0,48.94,0.94,49.84,0.94,49.82,0.94,50.59,0.94,50.65,0.94,38.87,0.94,40.23,0.94,40.62,0.94,40.22,0.94,40.48,0.94,1.86,-5.72,9.57,7.32,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|RIVERWOOD|33/11kV,zone_substation,RIVERWOOD,33/11kV,65.73,42.81,19.041528186810776,3.25,14.13388,0.01916,65.73,42.81,17.286519005514577,0.0,13.02699,0.01916,29.46,0.95,32.6,0.9,29.62,0.95,27.43,0.97,26.17,0.9,26.89,0.95,30.31,0.95,31.23,0.95,31.44,0.95,31.77,0.95,31.82,0.95,26.65,0.95,26.06,0.95,26.75,0.95,26.84,0.95,27.04,0.95,13.19,10.99,15.92,15.77,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ROCKDALE|132/11kV,zone_substation,ROCKDALE,132/11kV,109.32,59.5,18.491023704127517,4.75,12.03217,0.0,120.26,62.51,18.574237690479585,5.5,10.968045,0.0,41.27,1.0,47.63,0.99,42.22,1.0,38.09,1.0,38.47,1.0,42.41,1.0,49.18,0.99,51.92,0.99,52.54,0.99,54.99,0.99,55.88,0.99,42.95,1.0,46.38,1.0,48.89,1.0,49.61,1.0,51.86,1.0,17.28,3.62,20.1,10.65,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ROSE BAY|132/11kV,zone_substation,ROSE BAY,132/11kV,111.34,59.25,15.238650058989235,0.0,11.980292,1.416,111.34,59.25,17.184180691685302,3.75,10.828017,1.416,41.8,1.0,38.32,1.0,37.91,1.0,45.65,1.0,40.16,1.0,42.75,1.0,36.21,1.0,36.69,1.0,36.27,1.0,37.1,1.0,37.08,1.0,43.38,1.0,42.97,1.0,43.65,1.0,43.42,1.0,44.28,1.0,21.34,22.17,16.5,14.97,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ROTHBURY|132/11kV,zone_substation,ROTHBURY,132/11kV,76.21,38.11,14.687307686674906,0.75,10.11085,4.9616,76.21,38.11,7.9953712642384955,0.0,9.231425,4.955,12.73,0.9,18.87,1.0,20.17,1.0,8.34,0.9,9.8,0.99,10.98,0.97,11.83,1.0,12.2,1.0,12.82,1.0,12.65,1.0,13.82,1.0,10.51,0.99,10.43,0.99,10.82,0.99,11.46,0.99,12.73,0.99,17.94,24.29,27.13,25.38,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ROUCHEL|33/11kV,zone_substation,ROUCHEL,33/11kV,5.77,0.0,0.0,1.25,0.322495,0.0,6.34,0.0,0.0,0.0,0.315895,0.0,1.09,0.96,1.38,0.9,1.36,0.7,0.79,0.97,1.14,0.9,0.77,0.96,1.16,0.96,1.19,0.96,1.23,0.96,1.27,0.96,1.29,0.96,1.01,0.96,1.06,0.96,1.1,0.96,1.15,0.96,1.19,0.96,-1.36,-1.29,-0.77,-1.19,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
