source_record_id,survey_id,site_name,kci_id,site_owner,custodian,region,max_site_capacity_ac,gen_info_unit_id,unit_name,technology_type,technology_detail,gas_turbine_fuel_type,duid,dispatch_type,unit_count,unit_capacity_mw_dc,unit_capacity_mw_ac,aggregated_nameplate_capacity_mw_dc,aggregated_nameplate_capacity_mw_ac,agg_nameplate_storage_capacity_mwh,commitment_status,full_commercial_use_date,expected_closure_year,closure_date,survey_last_requested_date,survey_latest_update_date,scheduled_capacity_mw_winter_2026,scheduled_capacity_mw_summer_typical_2026_27,scheduled_capacity_mw_summer_peak_2026_27,scheduled_capacity_mw_winter_2027,scheduled_capacity_mw_summer_typical_2027_28,scheduled_capacity_mw_summer_peak_2027_28,scheduled_capacity_mw_winter_2028,scheduled_capacity_mw_summer_typical_2028_29,scheduled_capacity_mw_summer_peak_2028_29,scheduled_capacity_mw_winter_2029,scheduled_capacity_mw_summer_typical_2029_30,scheduled_capacity_mw_summer_peak_2029_30,scheduled_capacity_mw_winter_2030,scheduled_capacity_mw_summer_typical_2030_31,scheduled_capacity_mw_summer_peak_2030_31,scheduled_capacity_mw_winter_2031,scheduled_capacity_mw_summer_typical_2031_32,scheduled_capacity_mw_summer_peak_2031_32,scheduled_capacity_mw_winter_2032,scheduled_capacity_mw_summer_typical_2032_33,scheduled_capacity_mw_summer_peak_2032_33,scheduled_capacity_mw_winter_2033,scheduled_capacity_mw_summer_typical_2033_34,scheduled_capacity_mw_summer_peak_2033_34,scheduled_capacity_mw_winter_2034,scheduled_capacity_mw_summer_typical_2034_35,scheduled_capacity_mw_summer_peak_2034_35,scheduled_capacity_mw_winter_2035,scheduled_capacity_mw_summer_typical_2035_36,scheduled_capacity_mw_summer_peak_2035_36,scheduled_storage_capacity_mwh_winter_2026,scheduled_storage_capacity_mwh_summer_2026_27,scheduled_storage_capacity_mwh_winter_2027,scheduled_storage_capacity_mwh_summer_2027_28,scheduled_storage_capacity_mwh_winter_2028,scheduled_storage_capacity_mwh_summer_2028_29,scheduled_storage_capacity_mwh_winter_2029,scheduled_storage_capacity_mwh_summer_2029_30,scheduled_storage_capacity_mwh_winter_2030,scheduled_storage_capacity_mwh_summer_2030_31,scheduled_storage_capacity_mwh_winter_2031,scheduled_storage_capacity_mwh_summer_2031_32,scheduled_storage_capacity_mwh_winter_2032,scheduled_storage_capacity_mwh_summer_2032_33,scheduled_storage_capacity_mwh_winter_2033,scheduled_storage_capacity_mwh_summer_2033_34,scheduled_storage_capacity_mwh_winter_2034,scheduled_storage_capacity_mwh_summer_2034_35,scheduled_storage_capacity_mwh_winter_2035,scheduled_storage_capacity_mwh_summer_2035_36,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93,column_94,column_95,column_96,column_97,column_98,column_99,column_100,column_101,column_102,column_103,column_104,column_105,column_106,column_107,column_108,column_109,column_110,column_111,column_112,column_113,column_114,column_115,column_116,column_117,column_118,column_119,column_120,column_121,column_122,column_123,column_124,column_125,column_126,column_127,column_128,column_129,column_130,column_131,column_132,column_133,column_134,column_135,column_136,column_137,column_138,column_139,column_140,column_141,column_142,column_143,column_144,column_145,column_146,column_147,column_148,column_149,column_150,column_151,column_152,column_153,column_154,column_155,column_156,column_157,column_158,column_159,column_160,column_161,column_162,column_163,column_164,column_165
158501|1585|Gunnedah Solar Farm|GNNDHSF1|Solar PV|Single Axis Tracking,1585,Gunnedah Solar Farm,,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust,calenergy_nr,NSW1,110,158501,Gunnedah Solar Farm,Solar PV,Single Axis Tracking,,GNNDHSF1,Semi-scheduled,90,1.63,1.44,146.7,129.6,,In Service,,2056,,46091,46111.65655092592,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218601|2186|GSF_GU1||Solar PV|Fixed,2186,Gunning Hybrid,N00045,Gunning Subco Pty Ltd as trustee for the Gunning Unit Trust,grupocobra_nr,NSW1,239,218601,GSF_GU1,Solar PV,Fixed,,,Semi-scheduled,70,6.88,4.2,481.6,294,,Anticipated,46905,2053,,,46190.545069444444,0,0,0,0,0,0,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218602|2186|GSF_GU2||Battery Storage|Lithium-ion,2186,Gunning Hybrid,N00045,Gunning Subco Pty Ltd as trustee for the Gunning Unit Trust,grupocobra_nr,NSW1,239,218602,GSF_GU2,Battery Storage,Lithium-ion,,,Scheduled,36,6.88,4.39,247.68,158.04,316.08,Anticipated,46905,2053,,,46190.545069444444,0,0,0,0,0,0,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108201|1082|Gunning Wind Farm|GUNNING1|Wind|Onshore,1082,Gunning Wind Farm,,Gunning Wind Energy Developments,GUNNING,NSW1,46.5,108201,Gunning Wind Farm,Wind,Onshore,,GUNNING1,Semi-scheduled,11,1.5,1.5,16.5,16.5,,In Service,,2036,,46091,46093.627534722225,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,16.5,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108202|1082|Gunning Wind Farm:12-31|GUNNING1|Wind|Onshore,1082,Gunning Wind Farm,,Gunning Wind Energy Developments,GUNNING,NSW1,46.5,108202,Gunning Wind Farm:12-31,Wind,Onshore,,GUNNING1,Semi-scheduled,20,1.5,1.5,30,30,,In Service,,2036,,46091,46093.627534722225,30,30,0,30,30,0,30,30,0,30,30,0,30,30,0,30,30,0,30,30,0,30,30,0,30,30,0,30,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308001|3080|GSBS_GU1||Battery Storage|Lithium-ion,3080,Gunsynd BESS,,Gunsynd BESS Pty Ltd,metisenergy_nr,QLD1,100,308001,GSBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,100,,100,400,Publicly Announced,,,,46091,46161.37814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242201|2422|Gunsynd Solar Farm|GUSF1|Solar PV|Single Axis Tracking,2422,Gunsynd Solar Farm,,Progressive Renewable Developments Goondiwindi Pty Ltd (ACN 629 560 621) as trustee for the Gunsynd Solar Farm Project Trust,metisenergy_nr,QLD1,94,242201,Gunsynd Solar Farm,Solar PV,Single Axis Tracking,,GUSF1,Semi-scheduled,75,2.13,1.64,159.75,123,,In Commissioning,46107,2061,,46091,46104.69965277778,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256501|2565|GEP_GU||Other|Other,2565,Gurambilbarra Energy Hub,Q00102,365 Future Energy,,QLD1,1186,256501,GEP_GU,Other,Other,,,Scheduled,1,,1186,,1186,,Publicly Announced,,,,46091,45112.13166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108301|1083|Guthega:1|GUTHEGA|Hydro|Dam,1083,Guthega,,Snowy Hydro Ltd,SNOWY,NSW1,80,108301,Guthega:1,Hydro,Dam,,GUTHEGA,Scheduled,1,,30,,30,,In Service,,2070,,46091,46110.52422453704,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108302|1083|Guthega:2|GUTHEGA|Hydro|Dam,1083,Guthega,,Snowy Hydro Ltd,SNOWY,NSW1,80,108302,Guthega:2,Hydro,Dam,,GUTHEGA,Scheduled,1,,30,,30,,In Service,,2070,,46091,46110.52422453704,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306801|3068|GGBS_GU1||Battery Storage|Lithium-ion,3068,Guthrie’s Gap Solar Power Station,Q00246,Edify Energy Pty Ltd,edifyenergy_NR,QLD1,300,306801,GGBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,360,300,360,300,1200,Committed*,47088,2059,,46361,46164.696018518516,0,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306802|3068|GGSF_GU1||Solar PV|Single Axis Tracking,3068,Guthrie’s Gap Solar Power Station,Q00246,Edify Energy Pty Ltd,edifyenergy_NR,QLD1,300,306802,GGSF_GU1,Solar PV,Single Axis Tracking,,,Semi-scheduled,1,360,300,360,300,,Committed*,47239,2059,,46361,46164.696018518516,0,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
