source_record_id,survey_id,site_name,kci_id,site_owner,custodian,region,max_site_capacity_ac,gen_info_unit_id,unit_name,technology_type,technology_detail,gas_turbine_fuel_type,duid,dispatch_type,unit_count,unit_capacity_mw_dc,unit_capacity_mw_ac,aggregated_nameplate_capacity_mw_dc,aggregated_nameplate_capacity_mw_ac,agg_nameplate_storage_capacity_mwh,commitment_status,full_commercial_use_date,expected_closure_year,closure_date,survey_last_requested_date,survey_latest_update_date,scheduled_capacity_mw_winter_2026,scheduled_capacity_mw_summer_typical_2026_27,scheduled_capacity_mw_summer_peak_2026_27,scheduled_capacity_mw_winter_2027,scheduled_capacity_mw_summer_typical_2027_28,scheduled_capacity_mw_summer_peak_2027_28,scheduled_capacity_mw_winter_2028,scheduled_capacity_mw_summer_typical_2028_29,scheduled_capacity_mw_summer_peak_2028_29,scheduled_capacity_mw_winter_2029,scheduled_capacity_mw_summer_typical_2029_30,scheduled_capacity_mw_summer_peak_2029_30,scheduled_capacity_mw_winter_2030,scheduled_capacity_mw_summer_typical_2030_31,scheduled_capacity_mw_summer_peak_2030_31,scheduled_capacity_mw_winter_2031,scheduled_capacity_mw_summer_typical_2031_32,scheduled_capacity_mw_summer_peak_2031_32,scheduled_capacity_mw_winter_2032,scheduled_capacity_mw_summer_typical_2032_33,scheduled_capacity_mw_summer_peak_2032_33,scheduled_capacity_mw_winter_2033,scheduled_capacity_mw_summer_typical_2033_34,scheduled_capacity_mw_summer_peak_2033_34,scheduled_capacity_mw_winter_2034,scheduled_capacity_mw_summer_typical_2034_35,scheduled_capacity_mw_summer_peak_2034_35,scheduled_capacity_mw_winter_2035,scheduled_capacity_mw_summer_typical_2035_36,scheduled_capacity_mw_summer_peak_2035_36,scheduled_storage_capacity_mwh_winter_2026,scheduled_storage_capacity_mwh_summer_2026_27,scheduled_storage_capacity_mwh_winter_2027,scheduled_storage_capacity_mwh_summer_2027_28,scheduled_storage_capacity_mwh_winter_2028,scheduled_storage_capacity_mwh_summer_2028_29,scheduled_storage_capacity_mwh_winter_2029,scheduled_storage_capacity_mwh_summer_2029_30,scheduled_storage_capacity_mwh_winter_2030,scheduled_storage_capacity_mwh_summer_2030_31,scheduled_storage_capacity_mwh_winter_2031,scheduled_storage_capacity_mwh_summer_2031_32,scheduled_storage_capacity_mwh_winter_2032,scheduled_storage_capacity_mwh_summer_2032_33,scheduled_storage_capacity_mwh_winter_2033,scheduled_storage_capacity_mwh_summer_2033_34,scheduled_storage_capacity_mwh_winter_2034,scheduled_storage_capacity_mwh_summer_2034_35,scheduled_storage_capacity_mwh_winter_2035,scheduled_storage_capacity_mwh_summer_2035_36,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93,column_94,column_95,column_96,column_97,column_98,column_99,column_100,column_101,column_102,column_103,column_104,column_105,column_106,column_107,column_108,column_109,column_110,column_111,column_112,column_113,column_114,column_115,column_116,column_117,column_118,column_119,column_120,column_121,column_122,column_123,column_124,column_125,column_126,column_127,column_128,column_129,column_130,column_131,column_132,column_133,column_134,column_135,column_136,column_137,column_138,column_139,column_140,column_141,column_142,column_143,column_144,column_145,column_146,column_147,column_148,column_149,column_150,column_151,column_152,column_153,column_154,column_155,column_156,column_157,column_158,column_159,column_160,column_161,column_162,column_163,column_164,column_165
248901|2489|AMBS_GU1||Battery Storage|Lithium-ion,2489,Abermain BESS,Q00086,Firm Power P/L,agl_nr,QLD1,125,248901,AMBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,66,1.93,1.93,127.38,127.38,254.1,Publicly Announced,47480,2049,,46361,46164.56862268518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193402|1934|QBESS|QBYNB1|Battery Storage|Lithium-ion,1934,ACT BESS,N00010,Berrybank 2 Asset Pty Ltd as Trustee for Berrybank 2 Asset Trust,BERBANK,NSW1,10,193402,QBESS,Battery Storage,Lithium-ion,,QBYNB1,Scheduled,1,,10,,10,20,In Service,,2033,,46091,46099.69997685185,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154701|1547|Alberton Wind Farm:1 - 34||Wind|Onshore,1547,Alberton Wind Farm,,Synergy Wind Pty Ltd,exceed-energy_NR,VIC1,,154701,Alberton Wind Farm:1 - 34,Wind,Onshore,,,Semi-scheduled,34,,3.6,,122.4,,Publicly Announced,,,,46091,43246.69291666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325501|3255|Albury Mill BESS||Battery Storage|Lithium-ion,3255,Albury Mill BESS - KCI,N00287,VISY PULP AND PAPER PTY. LTD.,visy_NR,NSW1,350,325501,Albury Mill BESS,Battery Storage,Lithium-ion,,,Scheduled,1,,350,,350,,Publicly Announced,,,,46091,46119.639328703706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259101|2591|ADBS_GU1||Battery Storage|Lithium-ion,2591,Aldoga BESS,Q00118,Acciona Energy Australia Global,acciona_NR,QLD1,400,259101,ADBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,400,,400,800,Publicly Announced,47848,2055,,46361,46174.57990740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150901|1509|ADSF_GU1|ALDGASF1|Solar PV|Single Axis Tracking,1509,Aldoga Solar Farm,Q00036,Acciona Energy Australia Global Pty Ltd,acciona_NR,QLD1,387,150901,ADSF_GU1,Solar PV,Single Axis Tracking,,ALDGASF1,Semi-scheduled,157,3.09,2.47,485.13,387.79,,In Service,45929,2051,,46091,46094.437731481485,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306901|3069|ACBS_GU1||Battery Storage|Lithium-ion,3069,Alligator Creek BESS,Q00239,Alligator Creek BESS Pty Ltd,,QLD1,120,306901,ACBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,120,,120,,Publicly Announced,,,,46091,45840.98260416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100301|1003|Appin:1-54|APPIN|Other|Other,1003,Appin,,EDL CSM NSW Pty Ltd,EDLGRPOP,NSW1,55,100301,Appin:1-54,Other,Other,Landfill Gas,APPIN,Non-scheduled,54,,1.03,,55.62,,In Service,,2036,,46091,46108.68335648148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220001|2200|ABESS_G1||Battery Storage|Lithium-ion,2200,Apsley BESS Project,N00063,BW Ess Australia Pty Ltd,bw-ess_nr,NSW1,120,220001,ABESS_G1,Battery Storage,Lithium-ion,,,Scheduled,1,,120,,120,260,Publicly Announced,,,,46361,46170.62701388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195701|1957|AquilWin||Wind|Onshore,1957,Aquila Wind,N00038,ACEN Australia Pty Ltd,acenaustralia_NR,NSW1,200,195701,AquilWin,Wind,Onshore,,,Semi-scheduled,28,7.2,7.2,201.6,201.6,,Publicly Announced,48549,2080,,46361,46155.57486111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142602|1426|ASF||Solar PV|Single Axis Tracking,1426,Aramara Solar Farm,,Aramara Solar Pty Ltd,boerpower_NR,QLD1,101.4,142602,ASF,Solar PV,Single Axis Tracking,,,Semi-scheduled,30,4.4,4.4,132,132,,Anticipated,46919,2054,,46361,46164.358715277776,0,0,0,0,0,0,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146201|1462|Ararat Wind Farm:1-75|ARWF1|Wind|Onshore,1462,Ararat Wind Farm,,Ararat Wind Farm Pty Ltd,ARARATWF,VIC1,240,146201,Ararat Wind Farm:1-75,Wind,Onshore,,ARWF1,Semi-scheduled,75,3.2,3.2,240,240,,In Service,,2047,,46091,46164.42949074074,240,240,150,240,240,150,240,240,150,240,240,150,240,240,150,240,240,150,240,240,150,240,240,150,240,240,150,240,240,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185501|1855|ArdBESS1||Battery Storage|Lithium-ion,1855,Ardandra Solar Farm And BESS,,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust,octopusinvestments_NR,QLD1,97,185501,ArdBESS1,Battery Storage,Lithium-ion,,,Scheduled,22,4,3.41,88,75.02,150.04,Publicly Announced,47256,2059,,46361,46164.44935185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185502|1855|ArdSF1||Solar PV|Single Axis Tracking,1855,Ardandra Solar Farm And BESS,,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust,octopusinvestments_NR,QLD1,97,185502,ArdSF1,Solar PV,Single Axis Tracking,,,Semi-scheduled,28,4.15,3.46,116.2,96.88,,Publicly Announced,47256,2059,,46361,46164.44935185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284001|2840|AGWF_GU1||Wind|Onshore,2840,Argoon Wind Farm (RES Group) - KCI,,Argoon Wind Farm Project Co Pty Ltd as trustee of the Argoon Wind Farm Project Trust,res-group_NR,NSW1,763,284001,AGWF_GU1,Wind,Onshore,,,Semi-scheduled,106,7.2,7.2,763.2,763.2,,Publicly Announced,,2060,,46361,46176.4930787037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194701|1947|ArgyleSF||Solar PV|Single Axis Tracking,1947,Argyle Solar Farm,,Argyle Solar Farm Pty Ltd,infinergypacific_NR,NSW1,59.8,194701,ArgyleSF,Solar PV,Single Axis Tracking,,,Semi-scheduled,1,,59.8,,59.8,,Publicly Announced,,,,46361,45827.90940972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251201|2512|ABESS||Battery Storage|Lithium-ion,2512,Armidale BESS,N00182,Armidale BESS Project Pty Ltd,valent-energy_nr,NSW1,150,251201,ABESS,Battery Storage,Lithium-ion,,,Scheduled,1,1,150,1,150,750,Publicly Announced,46843,2046,,46361,46160.73168981481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307501|3075|AD_BESS||Battery Storage|Lithium-ion,3075,Armidale BESS,N00026,Elgin Energy Pty Ltd,glas-service_nr,NSW1,200,307501,AD_BESS,Battery Storage,Lithium-ion,,,Scheduled,1,,200,,200,800,Publicly Announced,46753,2070,,46091,46111.68685185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301701|3017|AEBS_GU1||Battery Storage|Lithium-ion,3017,Armidale East BESS,,FRV Services Australia,frv_NR,NSW1,315,301701,AEBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,106,4.2,3.61,445.2,382.66,1889.98,Anticipated,47725,2060,,46361,46190.61560185185,0,0,0,0,0,0,0,315,0,0,315,0,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,0,0,0,0,0,0,0,0,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327301|3273|Arthur's Hill Energy Park||Battery Storage|Lithium-ion,3273,Arthur's Hill Energy Park - KCI,N00297,Pacific Green Energy Parks Developments Pty Ltd,,NSW1,500,327301,Arthur's Hill Energy Park,Battery Storage,Lithium-ion,,,Scheduled,1,,500,,500,,Publicly Announced,,2068,,46091,46127.52402777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327101|3271|Ashleigh Park BESS||Battery Storage|Lithium-ion,3271,Ashleigh Park BESS - KCI,N00298,Ashleigh Park Beef Pty Ltd,,NSW1,300,327101,Ashleigh Park BESS,Battery Storage,Lithium-ion,,,Scheduled,1,,300,,300,,Publicly Announced,,,,46091,46127.52443287037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171502|1715|AVSF1|AVLSF1|Solar PV|Single Axis Tracking,1715,Avonlie Solar Farm,,Iberdrola Australia Limited,BBPEM,NSW1,245,171502,AVSF1,Solar PV,Single Axis Tracking,,AVLSF1,Semi-scheduled,70,3.63,3.63,254.1,254.1,,In Service,,2058,,46091,46190.654398148145,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297401|2974|A1B||Battery Storage|Lithium-ion,2974,Awaba BESS,,firmpower_NR,agl_nr,NSW1,50,297401,A1B,Battery Storage,Lithium-ion,,,Scheduled,28,1.93,1.93,54.04,54.04,107.8,Publicly Announced,47109,2047,,46361,46164.55409722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195801|1958|AxdalBES||Battery Storage|Lithium-ion,1958,Axedale Solar Farm and Battery Energy Storage System,V00025,FRV Services Australia,frv_NR,VIC1,190,195801,AxdalBES,Battery Storage,Lithium-ion,,,Scheduled,64,0.78,0.78,49.92,49.92,99.84,Anticipated,46996,2058,,46361,46161.43246527778,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195802|1958|AxdalSol||Solar PV|Single Axis Tracking,1958,Axedale Solar Farm and Battery Energy Storage System,V00025,FRV Services Australia,frv_NR,VIC1,190,195802,AxdalSol,Solar PV,Single Axis Tracking,,,Semi-scheduled,42,4.58,3.33,192.36,139.86,,Anticipated,46996,2058,,46361,46161.43246527778,0,0,0,0,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100501|1005|Bairnsdale:1|BDL01|Gas Turbine|OCGT,1005,Bairnsdale,,Alinta DEBO,ALNTARES,VIC1,94,100501,Bairnsdale:1,Gas Turbine,OCGT,Natural Gas,BDL01,Scheduled,1,,47,,47,,In Service,,2042,,46091,46093.681863425925,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100502|1005|Bairnsdale:2|BDL02|Gas Turbine|OCGT,1005,Bairnsdale,,Alinta DEBO,ALNTARES,VIC1,94,100502,Bairnsdale:2,Gas Turbine,OCGT,Natural Gas,BDL02,Scheduled,1,,47,,47,,In Service,,2042,,46091,46093.681863425925,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,44,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226301|2263|Bairns1||Battery Storage|Lithium-ion,2263,Bairnsdale BESS,,Bison Energy,bisonenergy_NR,VIC1,50,226301,Bairns1,Battery Storage,Lithium-ion,,,Scheduled,1,,65,,65,260,Publicly Announced,,,,46091,45729.97840277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164201|1642|Baking Board Solar Farm Chinchilla:1|BAKING1|Solar PV|Single Axis Tracking,1642,Baking Board Solar Farm Chinchilla,,Chinchilla Solar Pty Ltd,birdwoodenergy_NR,QLD1,14.7,164201,Baking Board Solar Farm Chinchilla:1,Solar PV,Single Axis Tracking,,BAKING1,Non-scheduled,1,,14.7,,14.7,,In Service,,2044,,46091,46105.60024305555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100601|1006|Bald Hills Wind Farm:1-52|BALDHWF1|Wind|Onshore,1006,Bald Hills Wind Farm,,Bald Hills Wind Farm Pty Ltd,ALNTBHWF,VIC1,106,100601,Bald Hills Wind Farm:1-52,Wind,Onshore,,BALDHWF1,Semi-scheduled,52,2.05,2.05,106.6,106.6,,In Service,,2040,,46091,46094.47467592593,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221301|2213|BWF_G1||Wind|Onshore,2213,Baldon Wind Farm,N00082,Baldon Wind Farm Pty Ltd,goldwindaustralia_NR,NSW1,360,221301,BWF_G1,Wind,Onshore,,,Scheduled,45,8,8,360,360,,Publicly Announced,47299,2064,,46361,46169.67082175926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259501|2595|BWF2_GU1||Wind|Onshore,2595,Baldon Wind Farm Stage 2,N00138,Baldon Wind Farm Pty Ltd,goldwindaustralia_NR,NSW1,1040,259501,BWF2_GU1,Wind,Onshore,,,Semi-scheduled,130,8,8,1040,1040,,Publicly Announced,47327,2064,,46361,46169.6575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259601|2596|BWBS_GU1||Battery Storage|Lithium-ion,2596,Baldon Wind Farm Stage 2 - BESS,N00138,Baldon Wind Farm Pty Ltd,goldwindaustralia_NR,NSW1,500,259601,BWBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,125,4,4,500,500,1000,Publicly Announced,47691,2064,,46361,46169.658009259256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100701|1007|6203834176||Gas Turbine|Other,1007,Ballarat Base Hospital Plant,,Ballarat Health Services,enel_NR,VIC1,1,100701,6203834176,Gas Turbine,Other,Diesel/ Fuel Oil,,Non-scheduled,2,,0.8,,1.6,,In Service,,2033,,45992,45584.31018518518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146901|1469|Ballarat Energy Storage System:1|BALB1|Battery Storage|Lithium-ion,1469,Ballarat Energy Storage System,,Ausnet Transmission Group Pty Ltd,EASTENGY,VIC1,30,146901,Ballarat Energy Storage System:1,Battery Storage,Lithium-ion,,BALB1,Scheduled,17,1.77,1.77,30.09,30.09,30.09,In Service,,2033,,46091,46105.71121527778,29.9,29.9,28.8,29.9,29.9,28.8,29.9,19.9,19.2,19.9,19.9,19.2,19.9,19.9,19.2,19.9,19.9,19.2,19.9,19.9,19.2,19.9,0,0,0,0,0,0,0,0,23.5,22.8,22.8,22.2,22.2,21.5,21.5,20.9,20.9,20.3,20.3,19.7,19.7,19.1,19.1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198604|1986|BRWF||Wind|Onshore,1986,Banana Range Wind Farm,Q00041,Orange Creek Energy Pty Ltd,edf-re_NR,QLD1,265,198604,BRWF,Wind,Onshore,,,Semi-scheduled,35,7.8,7.8,273,273,,Publicly Announced,47483,2059,,46361,46161.71233796296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128201|1282|Bango 973 Wind Farm:up to 30|BANGOWF1|Wind|Onshore,1282,Bango 973 Wind Farm,,BWF Nominees Pty Ltd as trustee for the BWF Trust,squadronenergy_NR,NSW1,155,128201,Bango 973 Wind Farm:up to 30,Wind,Onshore,,BANGOWF1,Semi-scheduled,30,,5.3,,159,,In Service,,2045,,46091,46100.94734953704,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184302|1843|Bango 999 Wind Farm|BANGOWF2|Wind|Onshore,1843,Bango 999 Wind Farm,N00019,BWF Nominees Pty Ltd as trustee for the BWF Trust,squadronenergy_NR,NSW1,82,184302,Bango 999 Wind Farm,Wind,Onshore,,BANGOWF2,Semi-scheduled,16,,5.3,,84.8,,In Service,,2045,,46091,46100.9375,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100801|1008|Banimboola:1-2|BAPS|Hydro|Dam,1008,Banimboola,,AGL Hydro Partnership,SOUTHHYD,VIC1,12.2,100801,Banimboola:1-2,Hydro,Dam,,BAPS,Non-scheduled,1,,10,,10,,In Service,,2057,,46091,46105.555925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
