source_record_id,region,substation,kv,transformer_rating_tx1,transformer_rating_tx2,transformer_rating_tx3,transformer_max_nameplate_tx1_mva,transformer_max_nameplate_tx2_mva,transformer_max_nameplate_tx3_mva,summer_firm_normal_cyclic_rating_mva,summer_forecast_pf,summer_forecast_2025_26_mva,summer_forecast_2026_27_mva,summer_forecast_2027_28_mva,summer_forecast_2028_29_mva,summer_forecast_2029_30_mva,summer_embedded_generation_mw,summer_95pct_peak_exceeded_hours,winter_firm_normal_cyclic_rating_mva,winter_forecast_pf,winter_forecast_2026_mva,winter_forecast_2027_mva,winter_forecast_2028_mva,winter_forecast_2029_mva,winter_forecast_2030_mva,winter_embedded_generation_mw,winter_95pct_peak_exceeded_hours,summer_2029_apparent_firm_margin_mva,winter_2030_apparent_firm_margin_mva
zone_substation|Kempsey|Crescent Head|33/11,Kempsey,Crescent Head,33/11,3/4,5,,4,5,,4.4,0.995,1.61,1.62,1.62,1.62,1.63,1.72,5,4.8,0.997,1.88,1.89,1.9,1.91,1.92,1.72,1.5,2.7700000000000005,2.88
zone_substation|Kempsey|Munga|33/11,Kempsey,Munga,33/11,2.5/3.25,3,,3.25,3,,3.3,0.995,1.57,1.57,1.57,1.57,1.57,1.53,2.5,3.6,0.997,1.32,1.33,1.34,1.35,1.36,1.53,0.5,1.7299999999999998,2.24
zone_substation|Kempsey|North St|33/11,Kempsey,North St,33/11,16,,,16,,,0,0.992,10.71,10.79,10.89,10.94,11.02,7.92,2.5,0,0.998,10.01,10.03,10.06,10.08,10.1,7.92,4.5,-11.02,-10.1
zone_substation|Kempsey|Prince St|33/11,Kempsey,Prince St,33/11,10/15,10/15,,15,15,,16.5,0.984,8.13,8.18,8.23,8.3,8.33,6.83,2,18,0.999,8.32,8.41,8.49,8.56,8.64,6.83,1,8.17,9.36
zone_substation|Kempsey|Smithtown|33/11,Kempsey,Smithtown,33/11,5/6.5,5,,6.5,5,,5.5,0.98,4.15,4.16,4.17,4.17,4.18,2.85,2.5,6,0.989,4.22,4.25,4.26,4.28,4.29,2.85,4,1.3200000000000003,1.71
zone_substation|Kempsey|South West Rocks|33/11,Kempsey,South West Rocks,33/11,10/12.5,16,,12.5,16,,13.75,0.981,7.1,7.16,7.22,7.26,7.32,7.51,3.5,15,0.971,7.36,7.4,7.44,7.47,7.5,7.51,4.5,6.43,7.5
zone_substation|Lismore|Alstonville|66/11,Lismore,Alstonville,66/11,20,16/20,,20,20,,22,0.999,11.62,11.79,11.9,12.02,12.17,16.75,1.5,24,1,11.63,11.62,11.62,11.63,11.62,16.75,5,9.83,12.38
zone_substation|Lismore|Ballina 132kV|132/66,Lismore,Ballina 132kV,132/66,35/45/60,,,60,,,0,0.947,20.18,20.54,20.76,21.06,21.3,0,0.5,0,0.995,20.71,20.88,21.05,21.19,21.35,0,5,-21.3,-21.35
zone_substation|Lismore|Ballina|66/11,Lismore,Ballina,66/11,24/30,24/30,,30,30,,33,0.982,27.47,27.82,27.97,28.27,28.55,30.45,1.5,36,0.998,25.27,25.24,25.2,25.18,25.14,30.45,4,4.449999999999999,10.86
zone_substation|Lismore|Dunoon|132/11,Lismore,Dunoon,132/11,10,10,,10,10,,11,0.991,6.03,6.03,6.03,6.04,6.01,8.61,2,12,0.994,6.52,6.53,6.55,6.56,6.57,8.61,4,4.99,5.43
zone_substation|Lismore|Ewingsdale|132/11,Lismore,Ewingsdale,132/11,30/45,30/45,,45,45,,49.5,0.999,18.81,19.06,19.27,19.5,19.67,19.09,1,54,0.999,18.4,18.48,18.56,18.63,18.73,19.09,8,29.83,35.269999999999996
zone_substation|Lismore|Kyogle|66/11,Lismore,Kyogle,66/11,8/10,8/10,,10,10,,11,0.991,7.45,7.36,7.27,7.18,7.13,7.6,3,12,1,6.81,6.84,6.88,6.9,6.93,7.6,7.5,3.87,5.07
zone_substation|Lismore|Lennox Head|132/11,Lismore,Lennox Head,132/11,16,16,,16,16,,17.6,0.993,5.95,6,6.05,6.09,6.14,8.71,1.5,19.2,0.988,6.67,6.69,6.69,6.69,6.71,8.71,3,11.46,12.489999999999998
zone_substation|Lismore|Lismore 132/66kV|132/66,Lismore,Lismore 132/66kV,132/66,80/120,80/120,80/120,120,120,120,264,0.983,93.63,94.55,95.2,95.75,96.4,0,1,288,1,91.86,92.35,92.83,93.28,93.55,0,1,167.6,194.45
zone_substation|Lismore|Lismore East|66/11,Lismore,Lismore East,66/11,15/19/23,15/20/25,,23,25,,25.3,0.998,13.47,13.4,13.38,13.35,13.31,17.07,1.5,27.6,1,12.39,12.55,12.67,12.79,12.91,17.07,5.5,11.99,14.690000000000001
zone_substation|Lismore|Lismore South|66/11,Lismore,Lismore South,66/11,15/19/25,15/19/23,20/25,25,23,25,52.8,0.963,7.47,7.56,7.54,7.61,7.68,7.88,4.5,57.6,0.998,6.89,6.89,6.88,6.88,6.88,7.88,7.5,45.12,50.72
zone_substation|Lismore|Lismore Uni|66/11,Lismore,Lismore Uni,66/11,20/30,20/30,,30,30,,33,0.997,22.08,22.34,22.63,22.85,23.04,16.2,4,36,1,19.18,19.53,19.87,20.17,20.45,16.2,12.5,9.96,15.55
zone_substation|Lismore|Mullumbimby|132/11,Lismore,Mullumbimby,132/11,16,10,,16,10,,11,0.998,7.98,7.99,8,8.02,8.05,12.34,2.5,12,0.999,11.58,11.82,12.02,12.2,12.35,12.34,2.5,2.9499999999999993,-0.34999999999999964
zone_substation|Lismore|Suffolk Park|132/11,Lismore,Suffolk Park,132/11,30,,,30,,,0,1,11.17,11.41,11.65,11.91,12.16,13.8,2,0,0.999,12.14,12.1,12.06,12.06,12.01,13.8,8,-12.16,-12.01
zone_substation|Lismore|Woodburn|66/11,Lismore,Woodburn,66/11,8/10,8/10,,10,10,,11,0.999,7.23,7.28,7.34,7.37,7.4,8.14,2,12,0.999,7.11,7.18,7.24,7.3,7.34,8.14,4,3.5999999999999996,4.66
zone_substation|Molong|Cumnock|66/11,Molong,Cumnock,66/11,2.5,2.5,,2.5,2.5,,2.75,1,1.45,1.44,1.45,1.45,1.46,1.43,2.5,3,0.966,1.58,1.59,1.61,1.63,1.65,1.43,3,1.29,1.35
zone_substation|Molong|Manildra|132/11,Molong,Manildra,132/11,18/24,18/24,,24,24,,26.4,0.958,13.2,13.23,13.25,13.27,13.29,2.21,33,28.8,0.963,13.13,13.26,13.36,13.49,13.59,2.21,46,13.11,15.21
zone_substation|Molong|Molong 11kV|66/11,Molong,Molong 11kV,66/11,5/7.5,3/4,,7.5,4,,4.4,0.988,3.46,3.47,3.47,3.48,3.49,2.95,1,4.8,0.991,3.44,3.44,3.44,3.44,3.44,2.95,10.5,0.9100000000000001,1.3599999999999999
zone_substation|Moree|Ashley|66/22,Moree,Ashley,66/22,8,,,8,,,0,0.991,1.38,1.42,1.46,1.49,1.53,0.56,2.5,0,1,3.59,3.63,3.66,3.68,3.71,0.56,350.5,-1.53,-3.71
zone_substation|Moree|Bellata|66/11,Moree,Bellata,66/11,2.8,2.5,,2.8,2.5,,2.75,0.918,1.16,1.18,1.19,1.21,1.22,0.54,6,3,0.977,1.05,1.07,1.09,1.1,1.11,0.54,1.5,1.53,1.89
zone_substation|Moree|Moree|66/22,Moree,Moree,66/22,15/30,24/30,,30,30,,33,0.998,22.07,23.85,27.89,31.55,34.74,14.47,3.5,36,0.998,22.52,24.44,28.61,32.4,35.73,14.47,25.5,-1.740000000000002,0.2700000000000031
zone_substation|Moree|Mungindi|66/22/33,Moree,Mungindi,66/22/33,8,,,8,,,0,0.95,2.92,2.92,2.91,2.91,2.91,1.33,1,0,0.95,5.39,5.4,5.4,5.39,5.39,1.33,18.5,-2.91,-5.39
zone_substation|Moree|Wathagar|66/22,Moree,Wathagar,66/22,5,,,5,,,0,0.996,1.36,1.37,1.39,1.42,1.45,0.24,2.5,0,0.985,3.69,3.67,3.65,3.65,3.64,0.24,13,-1.45,-3.64
zone_substation|Moree|Wenna|66/22,Moree,Wenna,66/22,7.5,,,7.5,,,0,0.992,2.86,2.89,2.89,2.93,2.94,0.05,2.5,0,0.853,2.98,3.09,3.19,3.29,3.39,0.05,14,-2.94,-3.39
zone_substation|Moruya North|Batemans Bay|132/11,Moruya North,Batemans Bay,132/11,30/45,30/45,,45,45,,49.5,1,17.46,17.91,18.43,18.83,19.3,14.46,0.5,54,0.999,20.34,20.39,20.42,20.47,20.52,14.46,3.5,30.2,33.480000000000004
zone_substation|Moruya North|Bodalla|33/11,Moruya North,Bodalla,33/11,3/4,3,,4,3,,3.3,0.98,1.14,1.14,1.15,1.16,1.17,1.37,3.5,3.6,0.999,1.35,1.35,1.35,1.35,1.35,1.37,7,2.13,2.25
zone_substation|Moruya North|Moruya North|132/33,Moruya North,Moruya North,132/33,40,30/45,,40,45,,44,0.999,23.44,23.86,24.24,24.56,24.86,0,2.5,48,1,29.04,29.03,29.07,29.05,29.06,0,2,19.14,18.94
zone_substation|Moruya North|Moruya Town|33/11,Moruya North,Moruya Town,33/11,10/16,10/16,,16,16,,17.6,0.998,5.63,5.57,5.52,5.48,5.43,6.78,5,19.2,1,7.44,7.46,7.49,7.51,7.54,6.78,6.5,12.170000000000002,11.66
zone_substation|Moruya North|Mossy Point|33/11,Moruya North,Mossy Point,33/11,10/12.5,12.5,,12.5,12.5,,13.75,0.999,6.2,6.2,6.19,6.18,6.18,8.36,2.5,15,0.998,8.81,8.83,8.85,8.87,8.89,8.36,3,7.57,6.109999999999999
zone_substation|Moruya North|Narooma|33/11,Moruya North,Narooma,33/11,10/16,10/12.5,,16,12.5,,13.75,1,5.76,5.81,5.85,5.9,5.95,5.55,1,15,1,7.61,7.6,7.6,7.61,7.61,5.55,7.5,7.8,7.39
zone_substation|Moruya North|Tuross|33/11,Moruya North,Tuross,33/11,5/8,,,8,,,0,0.981,2.24,2.24,2.23,2.23,2.22,2.82,3.5,0,0.982,3.46,3.48,3.51,3.53,3.56,2.82,1.5,-2.22,-3.56
zone_substation|Morven|Culcairn|66/11,Morven,Culcairn,66/11,5/7,8,,7,8,,7.7,0.989,3.58,3.55,3.53,3.5,3.47,3.85,3.5,8.4,0.995,4.41,4.45,4.49,4.52,4.55,3.85,2,4.23,3.8500000000000005
zone_substation|Morven|Holbrook|66/22,Morven,Holbrook,66/22,5/7,5/7,,7,7,,7.7,1,3.3,3.32,3.33,3.34,3.35,3.16,4,8.4,0.992,3.36,3.37,3.38,3.38,3.39,3.16,10,4.35,5.01
zone_substation|Morven|Morven|132/66,Morven,Morven,132/66,30,,,30,,,0,0.999,7.46,7.59,7.69,7.81,7.92,0,5,0,1,7.28,7.33,7.37,7.4,7.44,0,1.5,-7.92,-7.44
zone_substation|Munyang|Blue Cow|33/11,Munyang,Blue Cow,33/11,5/8,,,8,,,0,0.881,0.2,0.21,0.21,0.22,0.22,0,0.5,0,0.938,2.88,2.84,2.8,2.78,2.76,0,17.5,-0.22,-2.76
zone_substation|Munyang|Bullocks Flat|33/11,Munyang,Bullocks Flat,33/11,5/6.25,,,6.25,,,0,1,0.37,0.37,0.38,0.38,0.38,0.19,2.5,0,1,1.21,1.22,1.23,1.24,1.25,0.19,5.5,-0.38,-1.25
zone_substation|Munyang|Bullocks Portal|33/11,Munyang,Bullocks Portal,33/11,5/6.25,,,6.25,,,0,1,0.11,0.11,0.11,0.11,0.11,0,1.5,0,0.981,1.44,1.47,1.51,1.54,1.57,0,1,-0.11,-1.57
zone_substation|Munyang|Perisher|33/11,Munyang,Perisher,33/11,8/10,8/10,,10,10,,11,0.95,1,1,1,1,1,0.14,1,12,0.95,9.53,9.62,9.68,9.74,9.8,0.14,4,10,2.1999999999999993
zone_substation|Munyang|Snowy Adit 11kV|132/66/11,Munyang,Snowy Adit 11kV,132/66/11,10,,,10,,,0,0.98,0.43,0.47,0.5,0.53,0.56,0,2,0,0.994,0.47,0.5,0.53,0.56,0.59,0,1,-0.56,-0.59
zone_substation|Munyang|Snowy Adit 66kV|132/66/11,Munyang,Snowy Adit 66kV,132/66/11,30,,,30,,,0,0.992,2.59,2.61,2.62,2.63,2.63,0,3.5,0,1,8.12,8.19,8.24,8.3,8.35,0,4.5,-2.63,-8.35
zone_substation|Munyang|Thredbo|33/11,Munyang,Thredbo,33/11,10/16,10/16,,16,16,,17.6,0.991,2,2.01,2.02,2.04,2.04,0.03,1.5,19.2,0.961,14.27,14.38,14.45,14.49,14.55,0.03,16,15.560000000000002,4.649999999999999
zone_substation|Nambucca Heads|Macksville|132/11,Nambucca Heads,Macksville,132/11,24/30,24/30,,30,30,,33,1,9.32,9.37,9.44,9.44,9.5,10.9,2,36,1,9.98,10.05,10.08,10.15,10.17,10.9,3,23.5,25.83
zone_substation|Nambucca Heads|Nambucca Heads|66/11,Nambucca Heads,Nambucca Heads,66/11,15/19/23,17/22/24.5,,23,24.5,,25.3,0.997,7.69,7.73,7.76,7.8,7.83,8.37,2.5,27.6,0.988,9.14,9.17,9.2,9.23,9.25,8.37,6.5,17.47,18.35
zone_substation|Nambucca Heads|Raleigh|132/11,Nambucca Heads,Raleigh,132/11,30,30,,30,30,,33,0.995,10.78,10.77,10.74,10.72,10.72,12.16,3.5,36,0.997,11.35,11.39,11.44,11.47,11.51,12.16,4,22.28,24.490000000000002
zone_substation|Narrabri|Brewarrina|66/22,Narrabri,Brewarrina,66/22,6.5/8,,,8,,,0,0.968,2.78,2.78,2.78,2.78,2.78,1.33,10.5,0,0.909,2.34,2.36,2.37,2.38,2.39,1.33,8,-2.78,-2.39
zone_substation|Narrabri|Burren Junction|66/22,Narrabri,Burren Junction,66/22,5,5,,5,5,,5.5,0.992,2.11,2.12,2.12,2.12,2.12,0.69,8,6,0.954,1.72,1.74,1.75,1.77,1.78,0.69,21,3.38,4.22
zone_substation|Narrabri|Lightning Ridge|66/22,Narrabri,Lightning Ridge,66/22,6.5/8,5,,8,5,,5.5,1,3.15,3.16,3.17,3.17,3.18,2.57,5.5,6,0.998,3.19,3.23,3.27,3.3,3.34,2.57,1,2.32,2.66
zone_substation|Narrabri|Merrywinebone|66/22,Narrabri,Merrywinebone,66/22,5,,,5,,,0,0.861,1.58,1.6,1.61,1.62,1.63,0.74,2,0,0.999,2.9,2.89,2.89,2.88,2.88,0.74,21,-1.63,-2.88
zone_substation|Narrabri|Narrabri|66/22/11,Narrabri,Narrabri,66/22/11,18/30,18/30,,30,30,,33,0.993,17.39,17.56,17.73,17.85,17.95,10.15,2,36,0.996,17.61,17.85,18.07,18.28,18.48,10.15,9.5,15.05,17.52
zone_substation|Narrabri|Walgett|66/22,Narrabri,Walgett,66/22,10/16,10,,16,10,,11,0.983,5.37,5.4,5.44,5.48,5.51,3.32,6.5,12,0.956,4.95,5.01,5.05,5.11,5.16,3.32,4.5,5.49,6.84
zone_substation|Narrabri|Wee Waa|66/22,Narrabri,Wee Waa,66/22,8.8/10,16,,10,16,,11,0.969,8.08,8.06,8.03,8.01,7.99,2.89,3,12,0.969,9.99,10.12,10.26,10.39,10.49,2.89,6,3.01,1.5099999999999998
zone_substation|Nyngan|Bourke 22kV|66/22,Nyngan,Bourke 22kV,66/22,8.8/10,8.8/10,,10,10,,11,0.985,6.46,6.56,6.63,6.71,6.78,2.46,4,12,0.933,6.49,6.63,6.78,6.92,7.04,2.46,5,4.22,4.96
zone_substation|Nyngan|Bourke 33kV|66/33,Nyngan,Bourke 33kV,66/33,5/8,,,8,,,0,0.84,3.54,3.6,3.65,3.7,3.74,0.83,6.5,0,0.722,2.94,2.99,3.05,3.09,3.14,0.83,2,-3.74,-3.14
zone_substation|Nyngan|Byrock|66/22,Nyngan,Byrock,66/22,1,1,,1,1,,1.1,0.992,0.1,0.11,0.11,0.11,0.11,0.05,0.5,1.2,0.923,0.08,0.08,0.08,0.08,0.08,0.05,1,0.9900000000000001,1.1199999999999999
zone_substation|Nyngan|Cobar CSA|132/11,Nyngan,Cobar CSA,132/11,15/18,30/45,,18,45,,19.8,0.932,24.57,25.04,25.51,25.9,26.31,0,2.5,21.6,0.981,19.56,19.71,19.8,19.93,20.04,0,32.5,-6.509999999999998,1.5600000000000023
zone_substation|Nyngan|Cobar Elura|132/11,Nyngan,Cobar Elura,132/11,15,15,,15,15,,16.5,0.776,4.36,4.65,4.78,4.87,5.01,0,56.5,18,0.628,4.45,4.47,4.46,4.47,4.44,0,17.5,11.49,13.559999999999999
zone_substation|Nyngan|Cobar Peak|132/11,Nyngan,Cobar Peak,132/11,15/20,15/20,,20,20,,22,0.912,14.06,14.34,14.56,14.79,14.99,0,143.5,24,0.877,20.81,21.33,21.82,22.28,22.69,0,72.5,7.01,1.3099999999999987
zone_substation|Nyngan|Cobar Town|66/22,Nyngan,Cobar Town,66/22,8/11,10,,11,10,,11,0.952,6.62,6.69,6.77,6.86,6.93,4.94,6,12,0.95,5.86,5.88,5.9,5.91,5.93,4.94,2.5,4.07,6.07
zone_substation|Nyngan|Girilambone|66/11,Nyngan,Girilambone,66/11,10/12.5,,,12.5,,,0,0.869,1.64,1.64,1.63,1.62,1.61,0,9.5,0,0.876,0.59,0.59,0.59,0.59,0.59,0,1.5,-1.61,-0.59
zone_substation|Nyngan|Nyngan 132kV|132/66,Nyngan,Nyngan 132kV,132/66,18/30,30/45,,30,45,,33,0.999,34.72,35.12,35.53,35.98,36.31,0,11,36,0.99,31.96,32.21,32.49,32.75,32.95,0,29,-3.3100000000000023,3.049999999999997
zone_substation|Nyngan|Nyngan Town|66/22,Nyngan,Nyngan Town,66/22,10,10,,10,10,,11,1,5.48,5.48,5.48,5.47,5.49,2.75,5,12,0.991,4.67,4.69,4.71,4.73,4.75,2.75,4,5.51,7.25
zone_substation|Oberon|Burraga|33/11,Oberon,Burraga,33/11,2.5,,,2.5,,,0,0.882,0.36,0.35,0.34,0.34,0.34,0,0.5,0,0.858,0.46,0.46,0.45,0.45,0.45,0,1.5,-0.34,-0.45
zone_substation|Oberon|Oberon 132kV|132/11,Oberon,Oberon 132kV,132/11,25/36/45,25/36/45,,45,45,,49.5,0.97,32.61,33.03,33.52,34.02,34.54,0,3.5,54,0.993,31.72,32.26,32.76,33.24,33.68,0,48,14.96,20.32
zone_substation|Oberon|Oberon Town|66/11,Oberon,Oberon Town,66/11,10/15,10/15,,15,15,,16.5,0.957,3.53,3.57,3.54,3.59,3.62,4.04,1,18,1,5.78,5.76,5.75,5.74,5.72,4.04,8,12.879999999999999,12.280000000000001
zone_substation|Orange|Orange Industrial|66/11,Orange,Orange Industrial,66/11,15,10,,15,10,,11,1,9.21,9.14,9.1,9.05,9.02,11.74,3,12,1,12.56,12.68,12.8,12.89,13.01,11.74,12,1.9800000000000004,-1.0099999999999998
zone_substation|Orange|Orange North|66/11,Orange,Orange North,66/11,20/30,20/30,,30,30,,33,0.929,12.27,12.17,12.06,11.97,11.88,7.81,0.5,36,0.94,17.63,17.69,17.74,17.78,17.81,7.81,5,21.119999999999997,18.19
zone_substation|Orange|Orange South|66/11,Orange,Orange South,66/11,20/30,20/30,,30,30,,33,0.997,16.43,16.32,16.28,16.2,16.13,13.59,2.5,36,0.998,23.54,23.66,23.75,23.85,23.94,13.59,24.5,16.87,12.059999999999999
zone_substation|Orange|Orange West|66/11,Orange,Orange West,66/11,30,30,,30,30,,33,1,11.19,11.2,11.19,11.2,11.2,12.38,3,36,1,15.03,15.04,15.04,15.05,15.04,12.38,14,21.8,20.96
zone_substation|Parkes|Parkes Town|66/11,Parkes,Parkes Town,66/11,30,20/30,,30,30,,33,0.993,19.33,19.41,19.48,19.51,19.6,12.68,1.5,36,0.999,16.52,16.87,17.19,17.51,17.81,12.68,13.5,13.399999999999999,18.19
zone_substation|Parkes|Peak Hill|66/11,Parkes,Peak Hill,66/11,8,5,5,8,5,5,11,0.994,2.82,2.88,2.94,2.99,3.04,1.73,4,12,0.975,2.66,2.71,2.76,2.82,2.86,1.73,0.5,7.96,9.14
zone_substation|Parkes|Trundle|66/22,Parkes,Trundle,66/22,8,5,,8,5,,5.5,0.991,3.13,3.22,3.31,3.4,3.48,2.37,3.5,6,0.988,2.77,2.82,2.86,2.9,2.95,2.37,1.5,2.02,3.05
zone_substation|Port Macquarie|Boronia St|33/11,Port Macquarie,Boronia St,33/11,20/30,20/30,,30,30,,33,0.999,19.07,19.15,19.24,19.27,19.31,14.5,1.5,36,0.994,20.02,20.01,20.02,20.04,20.05,14.5,1.5,13.690000000000001,15.95
zone_substation|Port Macquarie|Byabarra|33/11,Port Macquarie,Byabarra,33/11,2.5/3.25,3,,3.25,3,,3.3,0.994,1.37,1.37,1.38,1.38,1.38,1.36,8,3.6,0.997,1.24,1.24,1.24,1.25,1.25,1.36,2,1.92,2.35
zone_substation|Port Macquarie|Clearwater Cr|33/11,Port Macquarie,Clearwater Cr,33/11,20/30,20/30,,30,30,,33,0.999,19.54,19.75,19.97,20.16,20.35,27.37,1.5,36,0.998,21.6,21.75,21.82,21.96,22.04,27.37,0.5,12.649999999999999,13.96
zone_substation|Port Macquarie|Koree Island|33/11,Port Macquarie,Koree Island,33/11,5/8,3.5,,8,3.5,,3.85,1,2.6,2.65,2.69,2.73,2.77,3,1,4.2,1,2.16,2.2,2.24,2.27,2.3,3,1,1.08,1.9000000000000004
zone_substation|Port Macquarie|Lake Cathie|33/11,Port Macquarie,Lake Cathie,33/11,8,10/16,,8,16,,8.8,0.986,6.13,6.37,6.53,6.69,6.83,9.33,2,9.6,0.997,7.04,7.11,7.17,7.23,7.29,9.33,1,1.9700000000000006,2.3099999999999996
zone_substation|Port Macquarie|Owen St|33/11,Port Macquarie,Owen St,33/11,30,15/20,,30,20,,22,0.986,13.1,13.11,13.08,13.1,13.11,7.27,2,24,0.999,15.98,16.01,16.04,16.07,16.09,7.27,1.5,8.89,7.91
zone_substation|Port Macquarie|Rocks Ferry|33/11,Port Macquarie,Rocks Ferry,33/11,10/16,10/15,,16,15,,16.5,0.996,12.98,13.19,13.33,13.47,13.59,13.01,1,18,1,11.26,11.35,11.44,11.52,11.6,13.01,1.5,2.91,6.4
zone_substation|Port Macquarie|Telegraph Point|33/11,Port Macquarie,Telegraph Point,33/11,3/4,3/4,,4,4,,4.4,0.999,1.8,1.81,1.81,1.83,1.83,2.21,1,4.8,0.999,2.12,2.15,2.18,2.21,2.24,2.21,7.5,2.5700000000000003,2.5599999999999996
zone_substation|Queanbeyan|Bungendore|66/11,Queanbeyan,Bungendore,66/11,7.5/10,7.5/10,,10,10,,11,0.998,7.67,7.79,7.9,8.02,8.14,9.87,1.5,12,0.998,10.35,10.45,10.54,10.62,10.7,9.87,8.5,2.8599999999999994,1.3000000000000007
zone_substation|Queanbeyan|Captains Flat|66/22,Queanbeyan,Captains Flat,66/22,8/11,5,,11,5,,5.5,0.971,4.7,4.87,5.01,5.13,5.26,3.77,2,6,0.982,8.06,8.31,8.55,8.76,8.96,3.77,6.5,0.2400000000000002,-2.960000000000001
zone_substation|Queanbeyan|Googong Dam|66/11,Queanbeyan,Googong Dam,66/11,8/10,7.5/10,,10,10,,11,0.999,0.9,0.91,0.91,0.92,0.92,0,0.5,12,0.975,1.59,1.61,1.63,1.65,1.67,0,6,10.08,10.33
zone_substation|Queanbeyan|Googong Town|132/11,Queanbeyan,Googong Town,132/11,30,30,,30,30,,33,0.998,9.84,10.09,10.3,10.49,10.66,14.31,2.5,36,0.998,14.2,14.49,14.78,15.04,15.26,14.31,5,22.34,20.740000000000002
zone_substation|Queanbeyan|Oaks Estate|66/11,Queanbeyan,Oaks Estate,66/11,20/30,20/30,,30,30,,33,0.992,10.64,10.53,10.43,10.34,10.25,9.49,2,36,0.998,19.09,19.36,19.57,19.74,19.89,9.49,4,22.75,16.11
zone_substation|Queanbeyan|Queanbeyan South|66/11,Queanbeyan,Queanbeyan South,66/11,20/25/30,20/25/30,,30,30,,33,0.999,21.03,21.04,21.03,21.08,21,19.97,1.5,36,0.998,28.66,28.91,29.09,29.28,29.46,19.97,6.5,12,6.539999999999999
zone_substation|Queanbeyan|South Jerrabomberra|132/11,Queanbeyan,South Jerrabomberra,132/11,30/40/50,30/40/50,,50,50,,55,0.998,4.05,9.45,14.85,20.25,25.65,0,0,60,0.998,4.05,9.45,14.85,20.25,25.65,0,0,29.35,34.35
zone_substation|Queanbeyan|Sutton|66/11,Queanbeyan,Sutton,66/11,8,6.5/8,,8,8,,8.8,1,3.59,3.59,3.58,3.58,3.59,5.21,1,9.6,1,5.04,5.07,5.12,5.15,5.18,5.21,11,5.210000000000001,4.42
zone_substation|Steeple Flat|Bombala|66/22,Steeple Flat,Bombala,66/22,10/16,10/13,,16,13,,14.3,0.997,4.09,4.11,4.11,4.12,4.13,1.69,0.5,15.6,1,4.83,4.82,4.82,4.83,4.84,1.69,3.5,10.170000000000002,10.76
zone_substation|Steeple Flat|Steeple Flat 132/66kV|132/66,Steeple Flat,Steeple Flat 132/66kV,132/66,30,,,30,,,0,1,4.63,4.56,4.53,4.5,4.46,0,0.5,0,0.987,6.77,7.31,7.8,8.24,8.65,0,2,-4.46,-8.65
zone_substation|Steeple Flat|Steeple Flat 22kV|11/22,Steeple Flat,Steeple Flat 22kV,11/22,5,,,5,,,0,0.902,0.72,0.75,0.77,0.78,0.8,0.45,1.5,0,0.976,0.9,0.91,0.92,0.93,0.94,0.45,9.5,-0.8,-0.94
zone_substation|Stroud|Booral|33/11,Stroud,Booral,33/11,3,2.5,,3,2.5,,2.75,0.984,1.73,1.75,1.76,1.77,1.78,1.27,0.5,3,0.994,1.28,1.29,1.3,1.31,1.31,1.27,1,0.97,1.69
zone_substation|Stroud|Bulahdelah|33/11,Stroud,Bulahdelah,33/11,5/8,5/6.5,,8,6.5,,7.15,0.994,3.88,3.89,3.89,3.9,3.9,2.67,2,7.8,1,3.03,3.05,3.06,3.07,3.08,2.67,2,3.2500000000000004,4.72
zone_substation|Stroud|Dungog|33/11,Stroud,Dungog,33/11,10/16,10/16,,16,16,,17.6,0.982,8.92,8.92,8.9,8.93,8.92,5.68,0.5,19.2,1,6.12,6.14,6.16,6.18,6.2,5.68,2,8.680000000000001,13.0
zone_substation|Stroud|Gloucester|33/11,Stroud,Gloucester,33/11,10/16,10/16,,16,16,,17.6,0.974,8.77,8.91,9.07,9.17,9.28,6.51,1.5,19.2,0.999,6.73,6.72,6.71,6.69,6.69,6.51,5.5,8.320000000000002,12.509999999999998
zone_substation|Stroud|Gresford|33/11,Stroud,Gresford,33/11,5/8,5/6.5,,8,6.5,,7.15,0.939,2.63,2.66,2.68,2.7,2.73,1.74,1.5,7.8,0.99,1.77,1.8,1.84,1.87,1.92,1.74,2,4.42,5.88
zone_substation|Stroud|Martins Creek|33/11,Stroud,Martins Creek,33/11,5/8,5/8,,8,8,,8.8,0.988,3.89,3.91,3.92,3.91,3.93,2.95,1.5,9.6,0.999,2.3,2.3,2.3,2.3,2.3,2.95,12,4.870000000000001,7.3
zone_substation|Stroud|Pacific Palms|33/11,Stroud,Pacific Palms,33/11,5/8,5/8,,8,8,,8.8,0.999,4.39,4.4,4.4,4.41,4.4,3.96,3,9.6,1,5.06,5.14,5.23,5.3,5.39,3.96,0.5,4.4,4.21
zone_substation|Stroud|Stroud 132/33kV|132/33,Stroud,Stroud 132/33kV,132/33,50/60,50/60,,60,60,,66,0.995,33.37,33.33,33.43,33.47,33.46,0.01,2,72,0.997,29.6,29.65,29.61,29.45,29.47,0.01,2,32.54,42.53
zone_substation|Stroud|Stroud 33/11kV|33/11,Stroud,Stroud 33/11kV,33/11,5,5/8,,5,8,,5.5,0.98,2.76,2.76,2.76,2.76,2.75,2.13,1.5,6,1,2.04,2.04,2.06,2.06,2.08,2.13,2,2.75,3.92
