source_record_id,region,substation,kv,transformer_rating_tx1,transformer_rating_tx2,transformer_rating_tx3,transformer_max_nameplate_tx1_mva,transformer_max_nameplate_tx2_mva,transformer_max_nameplate_tx3_mva,summer_firm_normal_cyclic_rating_mva,summer_forecast_pf,summer_forecast_2025_26_mva,summer_forecast_2026_27_mva,summer_forecast_2027_28_mva,summer_forecast_2028_29_mva,summer_forecast_2029_30_mva,summer_embedded_generation_mw,summer_95pct_peak_exceeded_hours,winter_firm_normal_cyclic_rating_mva,winter_forecast_pf,winter_forecast_2026_mva,winter_forecast_2027_mva,winter_forecast_2028_mva,winter_forecast_2029_mva,winter_forecast_2030_mva,winter_embedded_generation_mw,winter_95pct_peak_exceeded_hours,summer_2029_apparent_firm_margin_mva,winter_2030_apparent_firm_margin_mva
zone_substation|Dubbo|Gulargambone|66/22,Dubbo,Gulargambone,66/22,3,,,3,,,0,0.95,1.7,1.72,1.73,1.75,1.77,1.02,2,0,0.95,1.54,1.55,1.56,1.57,1.58,1.02,2,-1.77,-1.58
zone_substation|Dubbo|Narromine|132/22,Dubbo,Narromine,132/22,17/24,24,,24,24,,26.4,0.996,14.02,14.22,14.41,14.6,14.74,7.9,2.5,28.8,0.999,13.35,13.37,13.39,13.43,13.45,7.9,21.5,11.659999999999998,15.350000000000001
"zone_substation|Dubbo|Nevertire|132/22, 66/22",Dubbo,Nevertire,"132/22, 66/22",17/24,10,,24,10,,11,0.997,7.24,7.36,7.49,7.59,7.7,3.54,0.5,12,0.997,6.95,6.91,6.86,6.84,6.8,3.54,4,3.3,5.2
zone_substation|Dubbo|Yarrandale|66/11,Dubbo,Yarrandale,66/11,18/25,20/30,,25,30,,27.5,0.983,8.78,8.97,9.16,9.31,9.48,2.39,6,30,0.957,7.71,7.86,8,8.13,8.26,2.39,12.5,18.02,21.740000000000002
zone_substation|Finley|Finley Town|66/22,Finley,Finley Town,66/22,24/30,24/30,,30,30,,33,0.998,13.6,13.62,13.61,13.58,13.59,10.4,2,36,1,10.06,10.14,10.2,10.26,10.31,10.4,6,19.41,25.689999999999998
zone_substation|Finley|Jerilderie|66/22,Finley,Jerilderie,66/22,8.8/10,8.8/10,,10,10,,11,0.998,3.93,3.96,3.99,4.02,4.03,2.21,5,12,1,3.63,3.69,3.75,3.8,3.85,2.21,3,6.97,8.15
zone_substation|Forbes|Condobolin|66/22,Forbes,Condobolin,66/22,16,8.8/10,,16,10,,11,0.999,8.52,8.71,8.87,9.02,9.16,4.79,5.5,12,0.996,7.42,7.5,7.57,7.63,7.7,4.79,11,1.8399999999999999,4.3
zone_substation|Forbes|Forbes Town|66/11,Forbes,Forbes Town,66/11,18/30,15/30,,30,30,,33,0.982,13.63,13.62,13.64,13.64,13.66,9.04,4.5,36,0.988,11.64,11.71,11.77,11.84,11.89,9.04,6.5,19.34,24.11
zone_substation|Forbes|Lake Cargelligo|66/22,Forbes,Lake Cargelligo,66/22,8,7,,8,7,,7.7,0.955,4.06,4.13,4.18,4.24,4.3,3.05,2.5,8.4,0.906,3.49,3.57,3.65,3.72,3.79,3.05,2.5,3.4000000000000004,4.61
zone_substation|Forbes|Paytens Bridge|66/11,Forbes,Paytens Bridge,66/11,5,5/6.25,,5,6.25,,5.5,0.911,5.31,5.33,5.34,5.35,5.36,1.3,2,6,0.912,3.87,3.91,3.95,3.99,4.01,1.3,1,0.13999999999999968,1.9900000000000002
