sa2_code,sa2_name,state,erp_2025,erp_2024,change_2024_25,pct_change_2024_25,area_km2,density_2025,source_id,geography_version,record_scope
305011105,Caloundra West - Baringa,QLD,32296,30296,2000,6.6,38.0,849.9,SRC-ABS-SA2-ERP-2025,"ASGS Edition 3 (2021)",verified_seed
801061133,Googong,NSW,11987,10930,1057,9.7,36.8,325.7,SRC-ABS-SA2-ERP-2025,"ASGS Edition 3 (2021)",verified_seed
213041359,Rockbank - Mount Cottrell,VIC,28042,23440,4602,19.6,66.9,419.2,SRC-ABS-SA2-ERP-2025,"ASGS Edition 3 (2021)",verified_seed
