sa2_code,sa2_name,state,state_code,erp_2001,erp_2010,erp_2015,erp_2020,erp_2024,erp_2025,change_2015_25_abs,change_2015_25_pct,change_2020_25_abs,change_2020_25_pct,change_2024_25_abs,change_2024_25_pct,natural_increase_2024_25,net_internal_migration_2024_25,net_overseas_migration_2024_25,source_id,geography_version
316051544,Peregian Springs,QLD,3,111.0,3684.0,6810.0,10476.0,11797.0,11924.0,5114.0,75.1,1448.0,13.82,127.0,1.08,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316061439,Beerwah,QLD,3,4796.0,7042.0,8150.0,9192.0,9835.0,9938.0,1788.0,21.94,746.0,8.12,103.0,1.05,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316061440,Caloundra Hinterland,QLD,3,7344.0,8241.0,8592.0,9151.0,9291.0,9352.0,760.0,8.85,201.0,2.2,61.0,0.66,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316061441,Glass House Mountains,QLD,3,4333.0,5592.0,5853.0,6476.0,7177.0,7309.0,1456.0,24.88,833.0,12.86,132.0,1.84,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316061442,Landsborough,QLD,3,7248.0,9680.0,10208.0,14265.0,20558.0,21628.0,11420.0,111.87,7363.0,51.62,1070.0,5.2,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316061443,Maroochy Hinterland,QLD,3,5489.0,6064.0,6389.0,6759.0,7299.0,7415.0,1026.0,16.06,656.0,9.71,116.0,1.59,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316061444,Palmwoods,QLD,3,8062.0,10371.0,10782.0,11553.0,13173.0,13537.0,2755.0,25.55,1984.0,17.17,364.0,2.76,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316071545,Bli Bli,QLD,3,5632.0,6831.0,8182.0,10593.0,11797.0,11935.0,3753.0,45.87,1342.0,12.67,138.0,1.17,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316071546,Diddillibah - Rosemount,QLD,3,3032.0,3438.0,3817.0,4334.0,4676.0,4731.0,914.0,23.95,397.0,9.16,55.0,1.18,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316071547,Eumundi - Yandina,QLD,3,7701.0,9625.0,10518.0,12093.0,13464.0,13729.0,3211.0,30.53,1636.0,13.53,265.0,1.97,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
316071548,Nambour,QLD,3,15361.0,18276.0,20008.0,22196.0,24325.0,24674.0,4666.0,23.32,2478.0,11.16,349.0,1.43,,,,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
